android.arch.lifecycle.Lifecycle$Event,Android.Arch.Lifecycle.Lifecycle.Event
android.support.v4.provider.FontsContractCompat$FontRequestCallback,Android.Support.V4.Provider.FontsContractCompat.FontRequestCallback
android.support.v4.app.JobIntentService$JobServiceEngineImpl,Android.Support.V4.App.JobIntentService.JobServiceEngineImpl
android.support.v4.app.NotificationCompat$Action,Android.Support.V4.App.NotificationCompat.Action
android.support.v4.app.NotificationCompat$CarExtender,Android.Support.V4.App.NotificationCompat.CarExtender
android.support.v4.app.NotificationCompat$CarExtender$UnreadConversation,Android.Support.V4.App.NotificationCompat.CarExtender.UnreadConversation
android.support.v4.app.NotificationCompat$MessagingStyle,Android.Support.V4.App.NotificationCompat.MessagingStyle
android.support.v4.text.PrecomputedTextCompat$Params,Android.Support.V4.Text.PrecomputedTextCompat.Params
,AndroidX.VersionedParcelable.VersionedParcel
android.arch.persistence.db.SupportSQLiteOpenHelper$Configuration,Android.Arch.Persistence.Db.SupportSQLiteOpenHelperConfiguration
,AndroidX.Work.OneTimeWorkRequest
,AndroidX.Work.PeriodicWorkRequest
,AndroidX.Work.Constraints
,AndroidX.Work.Configuration
,AndroidX.Work.ContentUriTriggers
,AndroidX.Work.Data
,AndroidX.Work.OperationState
,AndroidX.Work.ListenableWorker
,AndroidX.Work.ListenableWorker.Result
,AndroidX.Work.Logger
,AndroidX.Work.WorkInfo
,AndroidX.Work.WorkRequest
,AndroidX.Work.WorkerParameters
android.support.v7.widget.MenuPopupWindow$MenuDropDownListView,Android.Support.V7.Widget.MenuPopupWindow.MenuDropDownListView
,AndroidX.Browser.BrowserActions.BrowserActionsIntent
android.support.design.widget.AppBarLayout$BaseBehavior,Android.Support.Design.Widget.AppBarLayout.BaseBehavior
android.support.design.widget.AppBarLayout$Behavior,Android.Support.Design.Widget.AppBarLayout.Behavior
android.support.design.widget.AppBarLayout$LayoutParams,Android.Support.Design.Widget.AppBarLayout.LayoutParams
android.support.design.widget.BaseTransientBottomBar$BaseCallback,Android.Support.Design.Widget.BaseTransientBottomBar.BaseCallback
android.support.v7.widget.RecyclerView$EdgeEffectFactory,Android.Support.V7.Widget.RecyclerView.EdgeEffectFactory
android.support.v7.widget.RecyclerView$ItemAnimator,Android.Support.V7.Widget.RecyclerView.ItemAnimator
android.support.v7.widget.RecyclerView$LayoutManager,Android.Support.V7.Widget.RecyclerView.LayoutManager
android.support.v7.widget.RecyclerView$RecycledViewPool,Android.Support.V7.Widget.RecyclerView.RecycledViewPool
android.support.v7.widget.RecyclerView$SmoothScroller,Android.Support.V7.Widget.RecyclerView.SmoothScroller
